Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 13:14:02: 03DD.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
2015/04/20 13:14:32: 03DE.01B7.0201.0162.0000 battery 1.416V solar 1.655V 
2015/04/20 13:15:02: 03DD.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 13:15:32: 03DC.01BA.020E.0163.0000 battery 1.426V solar 1.697V 
2015/04/20 13:16:02: 03DD.01AE.0203.0162.0000 battery 1.387V solar 1.661V 
2015/04/20 13:16:32: 03DD.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:17:02: 03DC.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
2015/04/20 13:17:32: 03DE.01B6.0202.0162.0000 battery 1.413V solar 1.658V 
2015/04/20 13:18:02: 03DF.01AE.0207.0162.0000 battery 1.387V solar 1.674V 
2015/04/20 13:18:32: 03DD.01BA.020E.0160.0000 battery 1.426V solar 1.697V 
2015/04/20 13:19:02: 03DD.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:19:32: 03DD.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:20:02: 03DD.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:20:32: 03DD.01BA.020D.015A.0000 battery 1.426V solar 1.694V 
2015/04/20 13:21:02: 03DE.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 13:21:32: 03DD.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:22:02: 03DC.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:22:32: 03DC.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:23:02: 03DD.01B9.020D.0161.0000 battery 1.423V solar 1.694V 
2015/04/20 13:23:32: 03DE.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:24:02: 03DE.01B9.020D.0161.0000 battery 1.423V solar 1.694V 
2015/04/20 13:24:32: 03DE.01B4.0203.0161.0000 battery 1.406V solar 1.661V 
2015/04/20 13:25:01: 03DE.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:25:31: 03DF.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:26:01: 03DF.01B8.020B.0161.0000 battery 1.419V solar 1.687V 
2015/04/20 13:26:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:27:01: 03DD.01B9.020D.0161.0000 battery 1.423V solar 1.694V 
2015/04/20 13:27:31: 03DE.01B2.020B.0161.0000 battery 1.400V solar 1.687V 
2015/04/20 13:28:01: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:28:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:29:01: 03DD.01BA.0207.0161.0000 battery 1.426V solar 1.674V 
2015/04/20 13:29:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:30:01: 03DE.01B9.020D.015D.0000 battery 1.423V solar 1.694V 
2015/04/20 13:30:31: 03DD.01B6.020D.0161.0000 battery 1.413V solar 1.694V 
2015/04/20 13:31:01: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:31:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:32:01: 03DE.01B2.0208.015D.0000 battery 1.400V solar 1.677V 
2015/04/20 13:32:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:33:01: 03DE.01B9.020C.0160.0000 battery 1.423V solar 1.690V 
2015/04/20 13:33:31: 03E0.01B8.020C.0161.0000 battery 1.419V solar 1.690V 
2015/04/20 13:34:01: 03DE.01BA.020D.015A.0000 battery 1.426V solar 1.694V 
2015/04/20 13:34:31: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:35:01: 03DE.01B9.020D.0161.0000 battery 1.423V solar 1.694V 
2015/04/20 13:35:31: 03DF.01B8.020C.0161.0000 battery 1.419V solar 1.690V 
2015/04/20 13:36:01: 03DE.01B9.020D.015B.0000 battery 1.423V solar 1.694V 
2015/04/20 13:36:30: 03DD.01B0.0201.0161.0000 battery 1.394V solar 1.655V 

-----

                     lite bat  slr  mois temp
2015/04/20 13:38:00: 03DE.01B9.020C.015D.0000 battery 1.423V solar 1.690V 
2015/04/20 13:38:30: 03DF.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:39:00: 03DD.01AF.020A.0160.0000 battery 1.390V solar 1.684V 
2015/04/20 13:39:30: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:40:00: 03DE.01B9.020C.015D.0000 battery 1.423V solar 1.690V 
2015/04/20 13:40:30: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:41:00: 03DE.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 13:41:30: 03E0.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 13:42:00: 03DD.01BA.0207.0160.0000 battery 1.426V solar 1.674V 
2015/04/20 13:42:30: 03DE.01BA.020D.015F.0000 battery 1.426V solar 1.694V 
2015/04/20 13:43:00: 03DE.01B6.020C.0161.0000 battery 1.413V solar 1.690V 
2015/04/20 13:43:30: 03DE.01BA.020D.015A.0000 battery 1.426V solar 1.694V 
2015/04/20 13:44:00: 03DF.01B9.020D.0161.0000 battery 1.423V solar 1.694V 
2015/04/20 13:44:30: 03DE.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:45:00: 03DD.01BA.020D.015C.0000 battery 1.426V solar 1.694V 
2015/04/20 13:45:30: 03DE.01BA.020D.015B.0000 battery 1.426V solar 1.694V 
2015/04/20 13:46:00: 03E0.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:46:30: 03DF.01B2.0201.0161.0000 battery 1.400V solar 1.655V 
2015/04/20 13:47:00: 03DE.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
